Genome;ClinFreq;ActA;Agr;Ami;Auto;Bsh;ChitinaseA;ChitinaseB;ClpB;ClpC;ClpE;ClpP;CodY;CtaP;CtsR;Dal;DegU;DltA;FAM000450;FAM000548;FAM000549;FAM001910;FAM002113;FAM002114;FAM002292;FAM002293;FAM002725;FAM002728;FAM002729;FAM002769;FAM002770;FAM002772;FAM002828;FAM002925;FAM003164;FAM003292;FAM003293;FAM003294;FAM003296;FAM003297;FAM003298;FAM003299;FAM003315;FAM003316;FAM003317;FAM003318;FAM004136;FAM004137;FAM004138;FAM004139;FAM004150;FAM004151;FAM004152;FAM004153;FAM004154;FbpA;FlaA;FlgC;FlgE;Fri;Fur;GadA;GadB;GadC;GmaR;GtcA;Hfq;Hly;Hpt-uhpt;HtrA;IIsA;IIsB;IIsD;IIsG;IIsH;IIsP;IIsX;IIsY;Iap_P60;InlA;InlB;InlC;InlF;InlH;InlJ;Inlk;Lap;LapB;Lgt;LipA;LisK;LisR;Lmo1421BilE;LntA;LpeA;LplA1;Lsp;MogR;Mpl;Mprf;MurA-NC_003210.1:c2605155-2603863;NamA-NC_003210.1:c2546503-2545487;OatA;OppA;OrfX;OrfZ;PerR;PgdA;Pgl;PlcA;PlcB;PrfA;PrsA2;PycA;RecA;RelA;RsbY;SecA;SigB;SipX;SipZ;Sod;SortaseA;SortaseB;Stp;SvpA;TcsA;Tig;Vip;VirR;VirRbis;btlB;hupC;lmo0514;lmo0610;lmo2026;lmo2085;rpsU
List_011;13,04;94,98;100,00;98,53;47,88;98,16;99,70;99,24;99,89;100,00;100,00;100,00;100,00;99,43;100,00;95,66;100,00;99,80;90,20;100,00;99,06;100,00;100,00;99,72;99,50;100,00;NaN;NaN;NaN;NaN;NaN;NaN;49,08;43,75;76,47;NaN;NaN;56,25;99,04;91,11;100,00;99,32;39,29;30,19;49,30;40,51;33,87;NaN;NaN;39,77;NaN;39,68;NaN;NaN;NaN;99,65;100,00;100,00;100,00;100,00;100,00;70,72;99,36;100,00;98,43;100,00;100,00;99,81;100,00;100,00;NaN;NaN;NaN;31,33;NaN;NaN;NaN;NaN;98,80;94,17;97,78;100,00;61,22;93,36;87,16;98,81;99,83;97,93;99,64;99,67;100,00;99,56;99,09;91,75;99,36;100,00;40,15;99,02;99,61;100,00;100,00;98,52;99,76;100,00;97,20;100,00;100,00;100,00;99,71;99,37;99,31;100,00;99,63;100,00;99,43;100,00;100,00;99,88;100,00;100,00;97,79;99,51;99,55;96,36;99,02;100,00;98,60;100,00;83,57;100,00;91,89;100,00;98,86;95,53;99,61;69,52;99,29;100,00
List_012;63,89;98,57;100,00;98,89;47,88;97,85;99,70;99,70;99,77;100,00;99,59;99,50;100,00;99,81;100,00;99,46;100,00;100,00;NaN;100,00;99,06;100,00;100,00;99,72;99,50;99,30;95,17;96,88;96,67;NaN;NaN;NaN;42,33;44,93;40,24;NaN;NaN;62,50;91,43;84,32;99,11;97,28;36,77;30,19;49,30;40,51;35,48;NaN;NaN;42,75;NaN;39,68;NaN;NaN;NaN;99,48;100,00;100,00;99,76;100,00;100,00;100,00;99,15;99,57;98,59;100,00;100,00;100,00;96,93;100,00;NaN;NaN;NaN;30,34;NaN;43,33;NaN;NaN;100,00;95,40;98,57;100,00;79,55;97,72;96,59;99,21;99,83;95,51;99,64;99,67;100,00;100,00;100,00;91,75;100,00;96,93;40,15;99,02;99,80;100,00;100,00;96,75;99,76;100,00;97,20;99,35;100,00;100,00;99,42;98,74;99,66;100,00;99,63;100,00;99,43;99,72;100,00;100,00;100,00;100,00;97,79;99,51;99,55;96,36;99,02;100,00;98,60;100,00;NaN;100,00;21,69;99,51;98,86;96,69;100,00;51,30;99,11;100,00
List_013;50,00;98,57;99,59;98,65;47,88;98,16;100,00;99,39;99,89;100,00;100,00;100,00;100,00;99,62;100,00;98,92;100,00;100,00;100,00;100,00;99,06;100,00;100,00;100,00;99,25;99,30;94,69;95,09;96,67;NaN;NaN;NaN;36,98;44,93;39,02;98,11;98,62;99,03;85,71;82,54;100,00;100,00;39,29;30,19;49,30;40,51;35,48;NaN;NaN;26,53;NaN;39,68;NaN;NaN;NaN;99,65;100,00;100,00;99,76;100,00;100,00;70,28;98,93;99,36;98,59;100,00;100,00;99,81;99,76;100,00;NaN;NaN;NaN;29,21;NaN;43,33;NaN;NaN;100,00;94,94;98,25;100,00;79,96;97,72;96,95;99,21;99,83;92,57;99,28;99,67;100,00;100,00;99,09;88,84;98,39;99,76;40,15;97,71;99,61;100,00;100,00;98,52;99,76;100,00;97,20;100,00;100,00;100,00;99,71;97,48;99,66;100,00;99,63;100,00;99,43;99,30;100,00;99,88;100,00;99,47;97,79;99,51;99,55;95,95;97,71;99,40;98,88;100,00;84,29;100,00;98,83;100,00;99,62;96,69;99,61;59,64;99,29;100,00
List_014;50,00;98,57;99,59;98,65;47,88;98,16;100,00;99,39;99,89;100,00;100,00;100,00;100,00;99,62;100,00;98,92;100,00;100,00;100,00;100,00;99,06;100,00;100,00;100,00;99,25;99,30;94,69;95,09;96,67;NaN;NaN;NaN;36,98;44,93;39,02;98,11;98,62;99,03;85,71;82,54;100,00;100,00;39,29;30,19;49,30;40,51;35,48;NaN;NaN;26,53;NaN;39,68;NaN;NaN;NaN;99,65;100,00;100,00;99,76;100,00;100,00;70,28;98,93;99,36;98,59;100,00;100,00;99,81;99,76;100,00;NaN;NaN;NaN;29,21;NaN;43,33;NaN;NaN;100,00;94,94;98,25;100,00;79,96;97,72;96,95;99,21;99,83;92,57;99,28;99,67;100,00;100,00;99,09;88,84;98,39;99,76;40,15;97,71;99,61;100,00;100,00;98,52;99,76;100,00;97,20;100,00;100,00;100,00;99,71;97,48;99,66;100,00;99,63;100,00;99,43;99,30;100,00;99,88;100,00;99,47;97,79;99,51;99,55;95,95;97,71;99,40;98,88;100,00;84,29;100,00;98,83;100,00;99,62;96,69;99,61;59,64;99,29;100,00
List_015;50,00;98,57;99,59;98,65;47,88;98,16;100,00;99,39;99,89;100,00;100,00;100,00;100,00;99,62;100,00;98,92;100,00;100,00;100,00;100,00;99,06;100,00;100,00;100,00;99,25;99,30;94,69;95,09;96,67;NaN;NaN;NaN;36,98;44,93;39,02;98,11;98,62;99,03;85,71;82,54;100,00;100,00;39,29;30,19;49,30;40,51;35,48;NaN;NaN;26,53;NaN;39,68;NaN;NaN;NaN;99,65;100,00;100,00;99,76;100,00;100,00;70,28;98,93;99,36;98,59;100,00;100,00;99,81;99,76;100,00;NaN;NaN;NaN;29,21;NaN;43,33;NaN;NaN;100,00;94,94;98,25;100,00;79,96;97,72;96,95;99,21;99,83;92,57;99,28;99,67;100,00;100,00;99,09;88,84;98,39;99,76;40,15;97,71;99,61;100,00;100,00;98,52;99,76;100,00;97,20;100,00;100,00;100,00;99,71;97,48;99,66;100,00;99,63;100,00;99,43;99,30;100,00;99,88;100,00;99,47;97,79;99,51;99,55;95,95;97,71;99,40;98,88;100,00;84,29;100,00;98,83;100,00;99,62;96,69;99,61;59,64;99,29;100,00
List_016;44,44;95,09;99,59;98,65;47,88;97,85;99,39;98,78;100,00;100,00;99,72;100,00;100,00;100,00;100,00;98,65;100,00;99,80;100,00;100,00;99,06;100,00;100,00;100,00;99,63;100,00;94,69;95,54;97,33;NaN;NaN;NaN;49,08;44,93;75,83;NaN;NaN;NaN;98,08;91,11;100,00;100,00;39,29;30,19;49,30;40,51;35,48;NaN;NaN;42,75;NaN;39,68;31,65;43,55;NaN;99,48;100,00;100,00;100,00;100,00;100,00;70,28;99,36;99,36;98,75;100,00;100,00;100,00;100,00;99,74;NaN;NaN;NaN;39,66;NaN;NaN;NaN;NaN;100,00;94,02;97,94;98,99;61,22;93,36;90,46;97,82;99,83;97,47;99,64;99,33;100,00;100,00;99,70;91,75;98,71;100,00;40,15;98,69;99,61;100,00;100,00;95,27;99,76;99,81;97,20;100,00;100,00;100,00;99,71;99,37;99,66;100,00;99,63;100,00;99,43;99,86;100,00;100,00;100,00;100,00;97,79;100,00;99,55;95,95;98,69;100,00;100,00;100,00;83,57;100,00;99,22;100,00;99,62;97,47;99,61;69,05;99,29;100,00
List_017;63,89;98,57;100,00;98,89;47,88;97,85;99,70;99,70;99,77;100,00;99,59;99,50;100,00;99,81;100,00;99,46;100,00;100,00;NaN;100,00;99,06;100,00;100,00;99,72;99,50;99,30;95,17;96,88;96,67;NaN;NaN;NaN;42,33;44,93;40,24;NaN;NaN;62,50;91,43;84,32;99,11;97,28;36,77;30,19;49,30;40,51;35,48;NaN;NaN;42,75;NaN;39,68;NaN;NaN;NaN;99,48;100,00;100,00;99,76;100,00;100,00;100,00;99,15;99,57;98,59;100,00;100,00;100,00;96,93;100,00;NaN;NaN;NaN;37,93;NaN;43,33;NaN;NaN;100,00;95,01;98,57;100,00;79,55;97,72;96,59;99,21;99,83;95,51;99,64;99,67;100,00;100,00;100,00;91,75;100,00;96,93;40,15;99,02;99,80;100,00;100,00;96,75;99,76;100,00;97,20;99,35;100,00;100,00;99,42;98,74;99,66;100,00;99,63;100,00;99,43;99,72;100,00;100,00;100,00;100,00;97,79;99,51;99,55;96,36;99,02;100,00;98,60;100,00;NaN;100,00;21,69;99,51;98,86;96,69;100,00;51,30;99,11;100,00
List_018;80,00;94,87;100,00;98,28;47,88;98,16;100,00;99,70;100,00;100,00;99,59;100,00;100,00;99,81;100,00;98,92;100,00;100,00;NaN;100,00;98,11;100,00;100,00;99,72;99,63;100,00;NaN;NaN;NaN;NaN;NaN;NaN;42,33;43,75;39,02;98,11;97,24;96,12;99,04;91,11;100,00;97,28;39,29;30,69;49,30;40,51;35,48;NaN;NaN;26,53;NaN;39,68;NaN;NaN;NaN;99,65;100,00;100,00;99,76;100,00;100,00;100,00;99,15;99,79;98,59;100,00;100,00;100,00;100,00;100,00;NaN;NaN;NaN;37,93;NaN;NaN;NaN;NaN;98,80;97,85;97,94;100,00;79,96;97,93;96,95;99,21;99,83;95,97;99,28;99,67;100,00;100,00;99,09;95,63;98,39;100,00;40,15;97,71;99,61;100,00;100,00;96,15;99,52;100,00;96,26;100,00;100,00;100,00;99,71;97,80;99,31;100,00;99,63;100,00;99,43;99,72;100,00;100,00;100,00;99,47;97,79;99,51;99,55;96,36;97,71;99,70;98,88;100,00;NaN;100,00;21,69;100,00;98,48;96,69;99,41;98,61;100,00;100,00
List_019;84,09;94,68;96,71;92,99;90,71;99,69;98,78;99,55;97,92;99,75;97,09;100,00;100,00;100,00;99,35;96,75;100,00;97,46;95,10;92,31;98,11;86,67;99,69;100,00;99,25;87,32;100,00;99,55;100,00;NaN;NaN;NaN;99,39;44,50;97,96;98,11;97,24;100,00;100,00;100,00;100,00;97,28;39,29;30,69;49,30;40,51;33,33;NaN;NaN;26,53;NaN;39,68;NaN;NaN;NaN;98,07;99,65;100,00;99,76;100,00;98,68;70,50;97,86;98,71;99,69;82,88;100,00;99,25;97,16;100,00;100,00;100,00;100,00;100,00;98,80;98,89;100,00;100,00;93,08;90,34;80,16;96,30;91,94;93,98;98,12;91,29;100,00;95,60;90,25;97,66;100,00;95,15;99,09;93,20;98,07;97,16;40,15;99,35;95,70;99,08;99,45;91,42;99,27;99,81;92,52;98,70;99,33;97,73;98,56;97,80;95,86;100,00;98,89;99,56;100,00;99,45;100,00;100,00;99,62;98,94;97,24;98,52;100,00;99,59;99,35;97,28;100,00;100,00;99,64;100,00;90,82;95,59;98,49;97,66;85,38;70,00;93,61;100,00
List_020;58,82;98,36;100,00;97,79;47,88;98,16;100,00;99,70;100,00;100,00;100,00;100,00;97,69;100,00;100,00;99,19;100,00;100,00;100,00;100,00;99,06;100,00;100,00;100,00;99,50;100,00;NaN;NaN;NaN;43,86;NaN;NaN;42,33;43,75;39,02;NaN;NaN;NaN;98,10;82,54;99,11;97,28;39,29;30,19;49,30;44,60;35,48;NaN;NaN;26,53;NaN;39,68;NaN;NaN;NaN;99,65;100,00;100,00;100,00;100,00;100,00;70,28;99,36;99,36;98,75;100,00;100,00;100,00;99,29;100,00;NaN;NaN;NaN;39,66;NaN;38,89;NaN;NaN;100,00;95,25;99,21;100,00;80,16;97,72;96,95;100,00;99,83;95,51;100,00;99,67;100,00;100,00;99,69;96,60;99,68;99,29;40,15;98,69;99,80;100,00;100,00;97,93;99,76;100,00;100,00;100,00;100,00;99,77;99,71;97,17;99,66;100,00;99,63;100,00;99,43;99,86;100,00;100,00;100,00;100,00;97,79;99,51;99,55;96,36;98,69;100,00;98,60;100,00;NaN;100,00;99,02;95,10;99,24;96,50;99,41;98,61;99,47;100,00
List_021;63,89;98,57;100,00;98,89;47,88;97,85;99,70;99,70;99,77;100,00;99,59;99,50;100,00;99,81;100,00;99,46;100,00;100,00;NaN;100,00;99,06;100,00;100,00;99,72;99,50;99,30;95,17;96,88;96,67;NaN;NaN;NaN;42,33;44,93;40,24;NaN;NaN;62,50;91,43;84,32;99,11;97,28;39,29;30,19;49,30;40,51;35,48;NaN;NaN;42,75;NaN;39,68;NaN;NaN;NaN;99,48;100,00;100,00;99,76;100,00;100,00;100,00;99,15;99,57;98,59;100,00;100,00;100,00;96,93;100,00;NaN;NaN;NaN;37,93;NaN;43,33;NaN;NaN;100,00;95,40;98,57;100,00;79,55;97,72;96,59;99,21;99,83;95,51;99,64;99,67;100,00;100,00;100,00;91,75;100,00;96,93;40,15;99,02;99,80;100,00;100,00;96,75;99,76;100,00;97,20;99,35;100,00;100,00;99,42;100,00;99,66;100,00;99,63;100,00;99,43;99,72;100,00;100,00;100,00;100,00;97,79;99,51;99,55;96,36;99,02;100,00;98,60;100,00;NaN;100,00;21,69;99,51;98,86;96,69;100,00;51,30;99,11;100,00
List_022;63,89;98,57;100,00;98,89;47,88;97,85;99,70;99,70;99,77;100,00;99,59;99,50;100,00;99,81;100,00;99,46;100,00;100,00;NaN;100,00;99,06;100,00;100,00;99,72;99,50;99,30;95,17;96,88;96,67;NaN;NaN;NaN;42,33;44,93;40,24;NaN;NaN;62,50;91,43;84,32;99,11;97,28;39,29;30,19;49,30;40,51;35,48;NaN;NaN;42,75;NaN;39,68;NaN;NaN;NaN;99,48;100,00;100,00;99,76;100,00;100,00;100,00;99,15;99,57;98,59;100,00;100,00;100,00;96,93;100,00;NaN;NaN;NaN;37,93;NaN;43,33;NaN;NaN;100,00;95,40;98,57;100,00;79,55;97,72;96,59;99,21;99,83;95,51;99,64;99,67;100,00;100,00;100,00;91,75;100,00;96,93;40,15;99,02;99,80;100,00;100,00;96,75;99,76;100,00;97,20;99,35;100,00;100,00;99,42;98,74;99,66;100,00;99,63;100,00;99,43;99,72;100,00;100,00;100,00;100,00;97,79;99,51;99,55;96,36;99,02;100,00;98,60;100,00;NaN;100,00;21,69;99,51;98,86;96,69;100,00;59,64;99,11;100,00
